legs,i2_dep_1_place,i1_legid,o_dlv_e,i2_dlv_e,o_rcf_1_place,o_dep_1_e,i1_dlv_e
2.0,128,7999.0,1516.0,95,128.0,317.0,1044.0
2.0,326,5836.0,12741.0,6681,128.0,922.0,3928.0
1.0,505,13582.0,273.0,2399,128.0,205.0,1219.0
3.0,609,767.0,2140.0,93,128.0,608.0,2933.0
2.0,671,2698.0,7313.0,270,128.0,264.0,4220.0
3.0,609,2584.0,148.0,499,403.0,1047.0,399.0
2.0,485,13546.0,884.0,101,349.0,542.0,48.0
3.0,233,4995.0,3588.0,988,700.0,1004.0,752.0
1.0,505,293.0,818.0,2399,609.0,1223.0,133.0
3.0,815,7844.0,990.0,179,128.0,710.0,1112.0
1.0,505,14335.0,1059.0,2399,128.0,2294.0,386.0
3.0,490,10269.0,2159.0,661,128.0,458.0,1834.0
1.0,505,3884.0,452.0,2399,308.0,226.0,3046.0
3.0,485,5391.0,1956.0,3,561.0,634.0,225.0
1.0,505,9656.0,4433.0,2399,721.0,1767.0,171.0
3.0,815,3220.0,1328.0,3861,356.0,463.0,1810.0
2.0,700,5655.0,322.0,836,441.0,6725.0,492.0
3.0,476,9741.0,99.0,1331,485.0,705.0,9.0
3.0,411,6333.0,51.0,234,144.0,691.0,782.0
3.0,815,1383.0,1370.0,636,299.0,571.0,107.0
2.0,349,4598.0,6523.0,298,700.0,202.0,1065.0
2.0,555,12642.0,134.0,78,308.0,298.0,1958.0
1.0,505,10241.0,246.0,2399,815.0,240.0,31.0
3.0,663,8671.0,1558.0,495,128.0,382.0,244.0
3.0,431,8547.0,9064.0,1539,423.0,513.0,1811.0
3.0,476,13540.0,70.0,537,700.0,253.0,8136.0
1.0,505,12639.0,522.0,2399,349.0,382.0,2114.0
1.0,505,9438.0,75.0,2399,610.0,865.0,838.0
1.0,505,13343.0,961.0,2399,128.0,704.0,3071.0
2.0,690,14337.0,894.0,10199,700.0,305.0,2738.0
2.0,571,11238.0,179.0,59,128.0,1053.0,2939.0
3.0,778,243.0,2364.0,3070,144.0,128.0,6144.0
1.0,505,3587.0,94.0,2399,149.0,295.0,1326.0
3.0,349,14518.0,1768.0,204,597.0,1778.0,74.0
1.0,505,1072.0,293.0,2399,128.0,392.0,1032.0
1.0,505,11559.0,970.0,2399,134.0,144.0,462.0
2.0,815,671.0,3789.0,1910,308.0,313.0,62.0
1.0,505,12188.0,1140.0,2399,609.0,851.0,2789.0
3.0,485,11219.0,187.0,195,485.0,105.0,2788.0
1.0,505,5675.0,8190.0,2399,700.0,1770.0,10302.0
2.0,597,14661.0,5573.0,2163,700.0,980.0,1312.0
3.0,815,13791.0,12852.0,1548,128.0,802.0,485.0
3.0,349,3533.0,1117.0,2642,128.0,308.0,3063.0
2.0,411,12455.0,2339.0,45,101.0,95.0,41.0
3.0,173,6529.0,571.0,792,700.0,993.0,278.0
2.0,413,7115.0,3415.0,1482,628.0,849.0,1678.0
1.0,505,6545.0,410.0,2399,524.0,778.0,87.0
2.0,149,309.0,20089.0,438,700.0,1357.0,60.0
2.0,431,7567.0,7442.0,525,671.0,1227.0,843.0
1.0,505,5058.0,6979.0,2399,308.0,2111.0,934.0
1.0,505,5370.0,475.0,2399,256.0,238.0,108.0
2.0,700,7481.0,117.0,1683,609.0,1120.0,229.0
3.0,128,871.0,164.0,3517,128.0,269.0,127.0
1.0,505,2585.0,1497.0,2399,349.0,305.0,36.0
3.0,403,6710.0,2638.0,1268,700.0,196.0,1831.0
2.0,456,5461.0,98.0,205,700.0,640.0,534.0
3.0,493,11328.0,290.0,4207,700.0,29.0,14254.0
3.0,485,6591.0,1062.0,44,128.0,268.0,1169.0
1.0,505,1649.0,530.0,2399,349.0,481.0,2834.0
3.0,134,3923.0,1742.0,2433,149.0,937.0,169.0
1.0,505,10412.0,736.0,2399,700.0,130.0,85.0
3.0,134,4277.0,502.0,440,628.0,790.0,39.0
3.0,281,11858.0,6671.0,368,597.0,861.0,20.0
1.0,505,4178.0,5320.0,2399,349.0,190.0,73.0
1.0,505,2573.0,67.0,2399,281.0,486.0,1140.0
2.0,233,1159.0,1257.0,4202,597.0,1004.0,6939.0
2.0,411,7382.0,1533.0,179,700.0,2088.0,368.0
3.0,548,10349.0,2467.0,1943,597.0,822.0,160.0
2.0,431,13753.0,112.0,36,527.0,113.0,24.0
3.0,527,8970.0,1145.0,2115,815.0,584.0,1088.0
3.0,815,8461.0,7566.0,5824,609.0,483.0,296.0
3.0,128,7507.0,840.0,3016,140.0,245.0,1421.0
1.0,505,2068.0,1.0,2399,149.0,912.0,1.0
1.0,505,3598.0,1226.0,2399,700.0,751.0,5940.0
2.0,524,8954.0,2474.0,84,349.0,303.0,291.0
1.0,505,5452.0,335.0,2399,774.0,805.0,692.0
3.0,609,4010.0,1145.0,1432,700.0,795.0,771.0
3.0,815,13916.0,162.0,262,128.0,2617.0,2936.0
2.0,815,10342.0,11230.0,4855,128.0,2247.0,517.0
1.0,505,13353.0,10379.0,2399,128.0,178.0,2513.0
2.0,815,5737.0,63.0,15,527.0,282.0,3212.0
3.0,281,10058.0,4013.0,181,149.0,524.0,69.0
2.0,411,5541.0,226.0,509,700.0,1468.0,266.0
2.0,431,6644.0,1718.0,41,698.0,484.0,84.0
1.0,505,878.0,3575.0,2399,561.0,795.0,574.0
2.0,476,8216.0,505.0,817,700.0,946.0,26.0
3.0,349,4636.0,3075.0,6302,128.0,1179.0,6157.0
2.0,308,1020.0,1325.0,832,700.0,547.0,62.0
3.0,527,6933.0,1722.0,17447,815.0,989.0,205.0
3.0,597,5007.0,1236.0,1467,671.0,1139.0,756.0
3.0,485,10252.0,7593.0,1142,423.0,471.0,632.0
2.0,815,3244.0,1699.0,688,809.0,755.0,1551.0
2.0,700,4838.0,4333.0,5779,555.0,200.0,4243.0
1.0,505,1714.0,243.0,2399,349.0,637.0,306.0
3.0,128,3692.0,1739.0,292,700.0,194.0,3859.0
1.0,505,2572.0,5767.0,2399,700.0,1187.0,525.0
1.0,505,1478.0,60.0,2399,426.0,800.0,907.0
1.0,505,229.0,816.0,2399,580.0,355.0,816.0
2.0,134,7328.0,934.0,634,548.0,846.0,1958.0
3.0,128,5996.0,974.0,543,128.0,1033.0,3532.0
2.0,349,6899.0,468.0,22,128.0,993.0,204.0
2.0,597,4909.0,876.0,2378,524.0,82.0,39.0
3.0,476,5073.0,805.0,3991,140.0,171.0,3009.0
2.0,485,3765.0,41.0,1673,485.0,389.0,674.0
3.0,695,1655.0,88.0,5555,128.0,583.0,784.0
3.0,413,7087.0,1049.0,857,800.0,1025.0,887.0
3.0,216,12648.0,892.0,416,238.0,194.0,1352.0
3.0,128,9377.0,1424.0,1125,815.0,3279.0,2738.0
3.0,128,5804.0,11200.0,18,700.0,700.0,133.0
3.0,555,5135.0,15856.0,225,815.0,450.0,1643.0
2.0,609,9594.0,2544.0,4481,456.0,752.0,2375.0
1.0,505,11793.0,135.0,2399,256.0,326.0,2031.0
3.0,413,1989.0,53.0,208,413.0,318.0,253.0
1.0,505,11218.0,140.0,2399,815.0,536.0,636.0
2.0,476,9437.0,4.0,2164,700.0,1119.0,837.0
2.0,128,2814.0,3600.0,1617,128.0,387.0,1529.0
1.0,505,9572.0,885.0,2399,700.0,945.0,1448.0
2.0,809,7770.0,20545.0,1275,128.0,609.0,1.0
1.0,505,11655.0,986.0,2399,700.0,291.0,346.0
1.0,505,7932.0,2970.0,2399,635.0,433.0,178.0
2.0,700,3475.0,940.0,1284,815.0,395.0,4466.0
1.0,505,4693.0,40.0,2399,281.0,209.0,3334.0
3.0,815,4663.0,793.0,162,149.0,564.0,1169.0
1.0,505,9403.0,545.0,2399,128.0,1083.0,10189.0
2.0,281,9138.0,5546.0,435,128.0,258.0,1852.0
1.0,505,14348.0,5879.0,2399,349.0,627.0,571.0
1.0,505,4614.0,1347.0,2399,815.0,90.0,5832.0
1.0,505,855.0,2003.0,2399,485.0,229.0,33.0
2.0,128,2551.0,1705.0,29,700.0,1046.0,41.0
3.0,128,6885.0,192.0,271,128.0,942.0,215.0
2.0,391,4877.0,2319.0,585,609.0,1374.0,4503.0
2.0,609,129.0,5417.0,3206,500.0,233.0,4661.0
2.0,281,14242.0,900.0,227,349.0,163.0,1374.0
2.0,671,3958.0,518.0,1522,299.0,1262.0,2503.0
2.0,371,316.0,2475.0,19,815.0,156.0,2.0
2.0,815,3836.0,335.0,1300,113.0,1070.0,776.0
3.0,815,13981.0,1429.0,346,299.0,258.0,1.0
2.0,236,3962.0,66.0,172,700.0,689.0,321.0
2.0,484,4033.0,2443.0,2115,128.0,1057.0,35042.0
3.0,815,12628.0,391.0,7122,815.0,211.0,5.0
1.0,505,9.0,6060.0,2399,671.0,215.0,2021.0
1.0,505,1861.0,2373.0,2399,699.0,861.0,710.0
3.0,597,6397.0,22.0,730,700.0,1105.0,94.0
1.0,505,3871.0,7.0,2399,671.0,1255.0,231.0
2.0,815,10087.0,670.0,128,798.0,624.0,182.0
1.0,505,10746.0,477.0,2399,128.0,663.0,44.0
1.0,505,3393.0,5842.0,2399,349.0,244.0,181.0
1.0,505,9735.0,3541.0,2399,700.0,1183.0,672.0
3.0,485,7447.0,541.0,51,233.0,3282.0,1078.0
3.0,815,7169.0,4617.0,124,187.0,3877.0,1044.0
3.0,456,9158.0,1441.0,1640,128.0,238.0,26069.0
2.0,485,13712.0,111.0,537,413.0,1263.0,3117.0
1.0,505,219.0,77.0,2399,281.0,821.0,840.0
2.0,485,3057.0,1811.0,585,174.0,463.0,1025.0
2.0,441,1218.0,5923.0,2088,815.0,636.0,3030.0
2.0,128,2769.0,24.0,194,700.0,464.0,150.0
3.0,411,14220.0,373.0,3275,349.0,612.0,1717.0
1.0,505,7398.0,728.0,2399,700.0,661.0,13072.0
3.0,151,680.0,7451.0,173,555.0,230.0,51.0
2.0,391,3432.0,4096.0,15543,128.0,650.0,2758.0
2.0,671,3830.0,2454.0,1118,555.0,193.0,1239.0
3.0,609,12742.0,589.0,515,349.0,339.0,265.0
3.0,815,9940.0,54582.0,967,144.0,1288.0,2695.0
2.0,243,9405.0,31.0,5345,700.0,1105.0,876.0
1.0,505,5178.0,1444.0,2399,815.0,195.0,2917.0
1.0,505,8803.0,1050.0,2399,349.0,144.0,1315.0
2.0,789,6469.0,1791.0,2021,484.0,394.0,5343.0
1.0,505,10978.0,6982.0,2399,128.0,219.0,746.0
2.0,787,14502.0,193.0,273,281.0,732.0,45.0
2.0,485,10281.0,8541.0,1766,815.0,575.0,385.0
1.0,505,13534.0,318.0,2399,476.0,957.0,771.0
2.0,456,9867.0,100.0,146,128.0,708.0,247.0
3.0,609,5463.0,850.0,1503,349.0,118.0,1228.0
2.0,798,3007.0,794.0,258,149.0,928.0,960.0
3.0,349,13607.0,9339.0,3,609.0,718.0,611.0
3.0,700,3353.0,225.0,36,700.0,187.0,1845.0
1.0,505,5355.0,128.0,2399,485.0,141.0,64.0
1.0,505,425.0,208.0,2399,349.0,1395.0,275.0
3.0,256,12624.0,85.0,12686,700.0,1643.0,8554.0
1.0,505,16.0,1357.0,2399,148.0,1548.0,6148.0
1.0,505,9410.0,1462.0,2399,485.0,291.0,3854.0
1.0,505,13062.0,5720.0,2399,349.0,1835.0,10296.0
2.0,815,9977.0,4563.0,324,349.0,580.0,285.0
3.0,281,6146.0,707.0,329,700.0,250.0,4574.0
3.0,371,3733.0,502.0,371,628.0,1267.0,1189.0
1.0,505,8932.0,1282.0,2399,149.0,1184.0,1604.0
2.0,233,5121.0,9144.0,176,700.0,361.0,461.0
2.0,583,8077.0,2655.0,1082,128.0,865.0,5359.0
1.0,505,705.0,589.0,2399,468.0,1689.0,1260.0
1.0,505,2868.0,4.0,2399,671.0,866.0,970.0
2.0,134,3420.0,888.0,3840,815.0,245.0,4305.0
1.0,505,13773.0,1767.0,2399,671.0,819.0,106.0
2.0,144,7821.0,4254.0,260,128.0,375.0,126.0
2.0,576,13220.0,4227.0,2678,327.0,1266.0,2085.0
1.0,505,2041.0,1130.0,2399,349.0,6018.0,2548.0
2.0,727,1489.0,915.0,25,113.0,533.0,1265.0
1.0,505,2752.0,1.0,2399,700.0,359.0,1115.0
1.0,505,1759.0,139.0,2399,700.0,3537.0,451.0
3.0,700,10298.0,765.0,2389,597.0,1217.0,4907.0
1.0,505,12007.0,3618.0,2399,815.0,277.0,2787.0
1.0,505,4629.0,1037.0,2399,815.0,433.0,1041.0
2.0,456,15.0,157.0,3885,468.0,1233.0,835.0
3.0,750,1840.0,1298.0,1293,128.0,797.0,5577.0
2.0,308,2595.0,374.0,719,783.0,532.0,696.0
2.0,671,10672.0,1825.0,1484,128.0,739.0,954.0
1.0,505,2762.0,1027.0,2399,403.0,705.0,422.0
2.0,456,297.0,367.0,231,281.0,362.0,2035.0
1.0,505,3252.0,739.0,2399,256.0,143.0,1590.0
3.0,815,10062.0,1052.0,45,128.0,598.0,45.0
3.0,485,5865.0,1528.0,2585,597.0,770.0,1473.0
1.0,505,12049.0,646.0,2399,349.0,269.0,3206.0
3.0,256,9515.0,15177.0,76,206.0,868.0,871.0
2.0,700,6608.0,788.0,1786,571.0,1343.0,1131.0
1.0,505,258.0,2161.0,2399,524.0,335.0,782.0
1.0,505,12341.0,1354.0,2399,609.0,1366.0,4001.0
1.0,505,12857.0,1032.0,2399,671.0,1154.0,454.0
3.0,256,9183.0,90.0,2279,341.0,311.0,584.0
2.0,485,10153.0,20.0,637,281.0,165.0,1226.0
3.0,349,8735.0,19169.0,2575,128.0,3649.0,1.0
1.0,505,8597.0,809.0,2399,349.0,97.0,150.0
1.0,505,5186.0,792.0,2399,609.0,1255.0,546.0
2.0,256,4650.0,5.0,947,371.0,1625.0,3796.0
2.0,128,12407.0,1499.0,341,700.0,739.0,10378.0
3.0,815,10309.0,14085.0,2167,128.0,716.0,725.0
3.0,485,2910.0,847.0,224,485.0,793.0,1462.0
1.0,505,2800.0,239.0,2399,527.0,868.0,285.0
2.0,128,3752.0,1008.0,2841,128.0,778.0,5858.0
3.0,411,7711.0,5.0,615,700.0,344.0,882.0
3.0,609,2433.0,729.0,6994,815.0,1044.0,3903.0
2.0,233,7236.0,691.0,1416,128.0,831.0,1551.0
3.0,485,7559.0,827.0,1871,128.0,266.0,3772.0
1.0,505,4544.0,141.0,2399,700.0,469.0,154.0
2.0,256,8228.0,11637.0,362,698.0,748.0,1074.0
2.0,431,5580.0,1166.0,317,800.0,1007.0,2948.0
2.0,485,7176.0,56.0,480,700.0,281.0,280.0
2.0,742,6061.0,1670.0,5878,815.0,1145.0,24.0
1.0,505,1669.0,1283.0,2399,128.0,172.0,912.0
1.0,505,11519.0,1225.0,2399,349.0,1485.0,442.0
1.0,505,13840.0,32.0,2399,700.0,186.0,241.0
3.0,579,9745.0,19959.0,1275,441.0,1358.0,7.0
2.0,815,11919.0,157.0,128,128.0,660.0,1262.0
1.0,505,4647.0,5763.0,2399,256.0,180.0,1584.0
2.0,671,381.0,2501.0,366,403.0,245.0,300.0
3.0,128,11708.0,46205.0,249,700.0,840.0,11.0
1.0,505,4506.0,80.0,2399,149.0,676.0,386.0
2.0,770,14174.0,825.0,1626,128.0,398.0,1097.0
3.0,166,7058.0,2478.0,1675,128.0,275.0,6068.0
1.0,505,9834.0,226.0,2399,700.0,1825.0,89.0
1.0,505,411.0,1821.0,2399,485.0,321.0,2155.0
1.0,505,11131.0,486.0,2399,700.0,1082.0,3517.0
3.0,441,2805.0,485.0,302,332.0,709.0,1180.0
3.0,128,3999.0,3088.0,86,128.0,474.0,36.0
1.0,505,13100.0,743.0,2399,149.0,1090.0,6156.0
3.0,609,12261.0,2153.0,649,128.0,503.0,1515.0
2.0,815,14446.0,174.0,220,700.0,218.0,2321.0
1.0,505,2214.0,816.0,2399,700.0,1232.0,117.0
3.0,113,1869.0,789.0,280,349.0,1565.0,67.0
3.0,281,14419.0,1495.0,409,584.0,607.0,36.0
3.0,815,6023.0,1006.0,3,700.0,426.0,91.0
2.0,778,12025.0,1193.0,1428,128.0,756.0,1470.0
2.0,391,5814.0,63.0,762,527.0,177.0,494.0
3.0,485,347.0,1064.0,3071,349.0,188.0,590.0
3.0,476,4993.0,187.0,19,597.0,257.0,2170.0
2.0,216,13936.0,141.0,2017,783.0,701.0,4907.0
3.0,610,11380.0,681.0,454,128.0,215.0,6015.0
3.0,216,13640.0,8227.0,1620,815.0,227.0,267.0
1.0,505,11930.0,575.0,2399,332.0,706.0,1033.0
1.0,505,10063.0,1572.0,2399,815.0,169.0,304.0
3.0,815,9942.0,19.0,132,349.0,191.0,1416.0
3.0,609,1723.0,2739.0,129,166.0,327.0,3480.0
2.0,243,103.0,47.0,1519,700.0,1165.0,1090.0
1.0,505,1977.0,90.0,2399,128.0,266.0,35.0
3.0,101,9545.0,985.0,2701,700.0,1845.0,1076.0
3.0,233,9888.0,5649.0,1555,216.0,1257.0,758.0
2.0,695,3389.0,16.0,486,403.0,1495.0,1570.0
2.0,128,13598.0,1210.0,186,128.0,1225.0,325.0
3.0,671,12056.0,1229.0,4382,371.0,577.0,2214.0
1.0,505,257.0,320.0,2399,671.0,1222.0,22.0
2.0,485,8842.0,103.0,1833,128.0,1568.0,1397.0
2.0,366,11954.0,2223.0,2821,128.0,281.0,3185.0
